datetime,open,high,low,close,volume
2025-04-28 16:45:00,210.0000,218.5633,209.8730,218.5633,76450
2025-04-28 16:30:00,209.9900,210.1400,209.7500,210.0400,27349
2025-04-28 16:15:00,210.1400,210.1400,209.7300,209.9900,391020
2025-04-28 16:00:00,210.0900,211.0456,209.5450,209.7700,16546028
2025-04-28 15:45:00,210.7100,211.5000,210.0400,210.0900,2739296
2025-04-28 15:30:00,210.5200,210.8313,210.4700,210.6950,840384
2025-04-28 15:15:00,210.2950,210.9400,210.2500,210.5400,852236
2025-04-28 15:00:00,209.8700,210.3400,209.8000,210.2802,712665
2025-04-28 14:45:00,209.9000,210.0200,209.7850,209.8407,437347
2025-04-28 14:30:00,209.8500,210.1000,209.7614,209.8956,608042
2025-04-28 14:15:00,209.8600,210.0500,209.4600,209.8700,601061
2025-04-28 14:00:00,209.7300,210.0500,209.5650,209.8500,992697
2025-04-28 13:45:00,209.0314,209.8600,208.9700,209.7500,842368
2025-04-28 13:30:00,208.1350,209.0899,208.0800,209.0250,663114
2025-04-28 13:15:00,208.1400,208.6404,207.9100,208.1400,521748
2025-04-28 13:00:00,208.4300,208.7300,208.0600,208.1500,550627
2025-04-28 12:45:00,208.4650,208.7300,207.9100,208.4450,530517
2025-04-28 12:30:00,207.8500,208.5800,207.8500,208.4700,625039
2025-04-28 12:15:00,207.6400,208.0600,207.4600,207.8600,535129
2025-04-28 12:00:00,207.9500,208.6200,207.5100,207.6250,636984
2025-04-28 11:45:00,207.8800,208.3300,207.7500,207.9600,539812
2025-04-28 11:30:00,207.9859,208.4000,207.5800,207.9200,722467
2025-04-28 11:15:00,209.1300,209.1400,207.8400,207.9500,1263335
2025-04-28 11:00:00,209.0400,209.5300,208.7600,209.1300,780100
2025-04-28 10:45:00,209.4600,209.8200,208.8800,209.0300,791845
2025-04-28 10:30:00,208.8750,209.5700,208.7300,209.4600,1192196
2025-04-28 10:15:00,209.5300,209.7000,208.7400,208.8400,1030603
2025-04-28 10:00:00,209.3850,209.8186,208.8250,209.5400,1205408
2025-04-28 09:45:00,211.2750,211.3722,209.1600,209.3850,1589593
2025-04-28 09:30:00,210.0000,211.5000,208.9500,211.2750,3724418
2025-04-28 09:15:00,210.1400,210.3793,209.6000,210.1100,77778
2025-04-28 09:00:00,210.0500,210.2100,209.8500,210.1300,37922
2025-04-28 08:45:00,209.9900,210.0800,209.8100,210.0500,67124
2025-04-28 08:30:00,209.7203,209.9900,206.4300,209.9900,20642
2025-04-28 08:15:00,209.5800,209.8800,209.5000,209.7201,17250
2025-04-28 08:00:00,209.3000,210.0500,207.4700,209.5900,1396214
2025-04-28 07:45:00,209.8800,210.0000,209.8000,209.9500,7682
2025-04-28 07:30:00,209.7100,210.0300,209.6800,209.8800,31429
2025-04-28 07:15:00,209.5100,209.7200,209.3400,209.7200,8517
2025-04-28 07:00:00,209.4400,209.5800,209.1000,209.5200,18461
2025-04-28 06:45:00,209.4200,209.5500,209.1700,209.4400,7459
2025-04-28 06:30:00,209.6100,209.7000,209.3500,209.3800,5869
2025-04-28 06:15:00,209.6100,209.6500,209.2300,209.6300,9268
2025-04-28 06:00:00,209.6600,209.7200,209.5100,209.5300,14243
2025-04-28 05:45:00,209.7400,209.8300,209.6500,209.7100,7490
2025-04-28 05:30:00,209.5000,210.0000,209.4900,209.7400,21921
2025-04-28 05:15:00,208.9200,209.5000,208.8500,209.5000,20271
2025-04-28 05:00:00,208.7300,208.9000,208.5600,208.9000,7684
